Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","Columbia University in the City of New York","Pathology","Foreign nationals","10",
"2016","Columbia University in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","17",
"2016","Columbia University in the City of New York","Pharmacology and toxicology","Total for selected values","21",
"2016","Columbia University in the City of New York","Pharmacology and toxicology","Foreign nationals","1",
"2016","Columbia University in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"2016","Columbia University in the City of New York","Physics","Total for selected values","99",
"2016","Columbia University in the City of New York","Physics","Foreign nationals","52",
"2016","Columbia University in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","47",
"2016","Columbia University in the City of New York","Physiology","Total for selected values","12",
"2016","Columbia University in the City of New York","Physiology","Foreign nationals","2",
"2016","Columbia University in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","10",
"2016","Columbia University in the City of New York","Political science and government","Total for selected values","157",
"2016","Columbia University in the City of New York","Political science and government","Foreign nationals","79",
"2016","Columbia University in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","78",
"2016","Columbia University in the City of New York","Preventive medicine and community health","Total for selected values","68",
"2016","Columbia University in the City of New York","Preventive medicine and community health","Foreign nationals","16",
"2016","Columbia University in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","52",
"2016","Columbia University in the City of New York","Psychology, general","Total for selected values","35",
"2016","Columbia University in the City of New York","Psychology, general","Foreign nationals","4",
"2016","Columbia University in the City of New York","Psychology, general","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2016","Columbia University in the City of New York","Social sciences not elsewhere classified","Total for selected values","156",
"2016","Columbia University in the City of New York","Social sciences not elsewhere classified","Foreign nationals","84",
"2016","Columbia University in the City of New York","Social sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","72",
"2016","Columbia University in the City of New York","Sociology","Total for selected values","76",
"2016","Columbia University in the City of New York","Sociology","Foreign nationals","26",
"2016","Columbia University in the City of New York","Sociology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","50",
"2016","Columbia University in the City of New York","Statistics","Total for selected values","604",
"2016","Columbia University in the City of New York","Statistics","Foreign nationals","556",
"2016","Columbia University in the City of New York","Statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","48",
"2015","Total for selected values","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Anthropology","Total for selected values","106",
"2015","Columbia University in the City of New York","Anthropology","Foreign nationals","51",
"2015","Columbia University in the City of New York","Anthropology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","55",
"2015","Columbia University in the City of New York","Astronomy and astrophysics","Total for selected values","31",
"2015","Columbia University in the City of New York","Astronomy and astrophysics","Foreign nationals","8",
"2015","Columbia University in the City of New York","Astronomy and astrophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","23",
"2015","Columbia University in the City of New York","Biochemistry","Total for selected values","15",
"2015","Columbia University in the City of New York","Biochemistry","Foreign nationals","4",
"2015","Columbia University in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","11",
"2015","Columbia University in the City of New York","Biology","Total for selected values","109",
"2015","Columbia University in the City of New York","Biology","Foreign nationals","45",
"2015","Columbia University in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","64",
"2015","Columbia University in the City of New York","Biomedical engineering","Total for selected values","134",
"2015","Columbia University in the City of New York","Biomedical engineering","Foreign nationals","57",
"2015","Columbia University in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","77",
"2015","Columbia University in the City of New York","Biometry and epidemiology","Total for selected values","279",
"2015","Columbia University in the City of New York","Biometry and epidemiology","Foreign nationals","118",
"2015","Columbia University in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","161",
"2015","Columbia University in the City of New York","Biophysics","Total for selected values","102",
"2015","Columbia University in the City of New York","Biophysics","Foreign nationals","12",
"2015","Columbia University in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","90",
"2015","Columbia University in the City of New York","Biosciences not elsewhere classified","Total for selected values","91",
"2015","Columbia University in the City of New York","Biosciences not elsewhere classified","Foreign nationals","25",
"2015","Columbia University in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","66",
"2015","Columbia University in the City of New York","Chemical engineering","Total for selected values","173",
"2015","Columbia University in the City of New York","Chemical engineering","Foreign nationals","128",
"2015","Columbia University in the City of New York","Chemical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","45",
"2015","Columbia University in the City of New York","Chemistry","Total for selected values","120",
"2015","Columbia University in the City of New York","Chemistry","Foreign nationals","33",
"2015","Columbia University in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","87",
"2015","Columbia University in the City of New York","Civil engineering","Total for selected values","237",
"2015","Columbia University in the City of New York","Civil engineering","Foreign nationals","169",
"2015","Columbia University in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","68",
"2015","Columbia University in the City of New York","Computer sciences","Total for selected values","666",
"2015","Columbia University in the City of New York","Computer sciences","Foreign nationals","452",
"2015","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","214",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","133",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","98",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","35",
"2015","Columbia University in the City of New York","Economics (except agricultural)","Total for selected values","134",
"2015","Columbia University in the City of New York","Economics (except agricultural)","Foreign nationals","103",
"2015","Columbia University in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2015","Columbia University in the City of New York","Electrical engineering","Total for selected values","728",
"2015","Columbia University in the City of New York","Electrical engineering","Foreign nationals","505",
"2015","Columbia University in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","223",
"2015","Columbia University in the City of New York","Engineering not elsewhere classified","Total for selected values","109",
"2015","Columbia University in the City of New York","Engineering not elsewhere classified","Foreign nationals","62",
"2015","Columbia University in the City of New York","Engineering not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","47",
"2015","Columbia University in the City of New York","Engineering science, mechanics, and physics","Total for selected values","186",
"2015","Columbia University in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","138",
"2015","Columbia University in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","48",
"2015","Columbia University in the City of New York","Genetics","Total for selected values","32",
"2015","Columbia University in the City of New York","Genetics","Foreign nationals","5",
"2015","Columbia University in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","27",
"2015","Columbia University in the City of New York","Geosciences","Total for selected values","136",
"2015","Columbia University in the City of New York","Geosciences","Foreign nationals","53",
"2015","Columbia University in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2015","Columbia University in the City of New York","Industrial and manufacturing engineering","Total for selected values","763",
"2015","Columbia University in the City of New York","Industrial and manufacturing engineering","Foreign nationals","677",
"2015","Columbia University in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","86",
"2015","Columbia University in the City of New York","Mathematics and applied mathematics","Total for selected values","211",
"2015","Columbia University in the City of New York","Mathematics and applied mathematics","Foreign nationals","177",
"2015","Columbia University in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","34",
"2015","Columbia University in the City of New York","Mechanical engineering","Total for selected values","251",
"2015","Columbia University in the City of New York","Mechanical engineering","Foreign nationals","173",
"2015","Columbia University in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","78",
"2015","Columbia University in the City of New York","Microbiology, immunology, and virology","Total for selected values","23",
"2015","Columbia University in the City of New York","Microbiology, immunology, and virology","Foreign nationals","4",
"2015","Columbia University in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","19",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","95",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","12",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","83",
"2015","Columbia University in the City of New York","Nursing science","Total for selected values","26",
"2015","Columbia University in the City of New York","Nursing science","Foreign nationals","3",
"2015","Columbia University in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","23",
"2015","Columbia University in the City of New York","Nutrition","Total for selected values","29",
"2015","Columbia University in the City of New York","Nutrition","Foreign nationals","4",
"2015","Columbia University in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","25",
"2015","Columbia University in the City of New York","Pathology","Total for selected values","28",
"2015","Columbia University in the City of New York","Pathology","Foreign nationals","13",
"2015","Columbia University in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","15",
"2015","Columbia University in the City of New York","Pharmacology and toxicology","Total for selected values","21",
"2015","Columbia University in the City of New York","Pharmacology and toxicology","Foreign nationals","3",
"2015","Columbia University in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","18",
"2015","Columbia University in the City of New York","Physics","Total for selected values","97",
"2015","Columbia University in the City of New York","Physics","Foreign nationals","49",
"2015","Columbia University in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","48",
"2015","Columbia University in the City of New York","Physiology","Total for selected values","10",
"2015","Columbia University in the City of New York","Physiology","Foreign nationals","1",
"2015","Columbia University in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","9",
"2015","Columbia University in the City of New York","Political science and government","Total for selected values","148",
"2015","Columbia University in the City of New York","Political science and government","Foreign nationals","78",
"2015","Columbia University in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","70",
"2015","Columbia University in the City of New York","Preventive medicine and community health","Total for selected values","73",
"2015","Columbia University in the City of New York","Preventive medicine and community health","Foreign nationals","14",
"2015","Columbia University in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"2015","Columbia University in the City of New York","Psychology, general","Total for selected values","38",
"2015","Columbia University in the City of New York","Psychology, general","Foreign nationals","7",
"2015","Columbia University in the City of New York","Psychology, general","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","31",
"2015","Columbia University in the City of New York","Social sciences not elsewhere classified","Total for selected values","150",
"2015","Columbia University in the City of New York","Social sciences not elsewhere classified","Foreign nationals","77",
"2015","Columbia University in the City of New York","Social sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","73",
"2015","Columbia University in the City of New York","Sociology","Total for selected values","81",
"2015","Columbia University in the City of New York","Sociology","Foreign nationals","30",
"2015","Columbia University in the City of New York","Sociology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","51",
"2015","Columbia University in the City of New York","Statistics","Total for selected values","629",
"2015","Columbia University in the City of New York","Statistics","Foreign nationals","588",
"2015","Columbia University in the City of New York","Statistics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","41",
"2014","Total for selected values","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Anthropology","Total for selected values","127",
"2014","Columbia University in the City of New York","Anthropology","Foreign nationals","55",
"2014","Columbia University in the City of New York","Anthropology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","72",
"2014","Columbia University in the City of New York","Astronomy and astrophysics","Total for selected values","27",
"2014","Columbia University in the City of New York","Astronomy and astrophysics","Foreign nationals","6",
"2014","Columbia University in the City of New York","Astronomy and astrophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","21",
"2014","Columbia University in the City of New York","Biochemistry","Total for selected values","15",
"2014","Columbia University in the City of New York","Biochemistry","Foreign nationals","1",
"2014","Columbia University in the City of New York","Biochemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","14",
"2014","Columbia University in the City of New York","Biology","Total for selected values","102",
"2014","Columbia University in the City of New York","Biology","Foreign nationals","41",
"2014","Columbia University in the City of New York","Biology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","61",
"2014","Columbia University in the City of New York","Biomedical engineering","Total for selected values","136",
"2014","Columbia University in the City of New York","Biomedical engineering","Foreign nationals","60",
"2014","Columbia University in the City of New York","Biomedical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","76",
"2014","Columbia University in the City of New York","Biometry and epidemiology","Total for selected values","293",
"2014","Columbia University in the City of New York","Biometry and epidemiology","Foreign nationals","119",
"2014","Columbia University in the City of New York","Biometry and epidemiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","174",
"2014","Columbia University in the City of New York","Biophysics","Total for selected values","96",
"2014","Columbia University in the City of New York","Biophysics","Foreign nationals","18",
"2014","Columbia University in the City of New York","Biophysics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","78",
"2014","Columbia University in the City of New York","Biosciences not elsewhere classified","Total for selected values","109",
"2014","Columbia University in the City of New York","Biosciences not elsewhere classified","Foreign nationals","37",
"2014","Columbia University in the City of New York","Biosciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","72",
"2014","Columbia University in the City of New York","Chemical engineering","Total for selected values","186",
"2014","Columbia University in the City of New York","Chemical engineering","Foreign nationals","116",
"2014","Columbia University in the City of New York","Chemical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","70",
"2014","Columbia University in the City of New York","Chemistry","Total for selected values","132",
"2014","Columbia University in the City of New York","Chemistry","Foreign nationals","40",
"2014","Columbia University in the City of New York","Chemistry","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","92",
"2014","Columbia University in the City of New York","Civil engineering","Total for selected values","255",
"2014","Columbia University in the City of New York","Civil engineering","Foreign nationals","195",
"2014","Columbia University in the City of New York","Civil engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","60",
"2014","Columbia University in the City of New York","Computer sciences","Total for selected values","592",
"2014","Columbia University in the City of New York","Computer sciences","Foreign nationals","420",
"2014","Columbia University in the City of New York","Computer sciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","172",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Total for selected values","86",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","Foreign nationals","58",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","28",
"2014","Columbia University in the City of New York","Economics (except agricultural)","Total for selected values","136",
"2014","Columbia University in the City of New York","Economics (except agricultural)","Foreign nationals","103",
"2014","Columbia University in the City of New York","Economics (except agricultural)","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","33",
"2014","Columbia University in the City of New York","Electrical engineering","Total for selected values","567",
"2014","Columbia University in the City of New York","Electrical engineering","Foreign nationals","457",
"2014","Columbia University in the City of New York","Electrical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","110",
"2014","Columbia University in the City of New York","Engineering not elsewhere classified","Total for selected values","19",
"2014","Columbia University in the City of New York","Engineering not elsewhere classified","Foreign nationals","8",
"2014","Columbia University in the City of New York","Engineering not elsewhere classified","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","11",
"2014","Columbia University in the City of New York","Engineering science, mechanics, and physics","Total for selected values","156",
"2014","Columbia University in the City of New York","Engineering science, mechanics, and physics","Foreign nationals","97",
"2014","Columbia University in the City of New York","Engineering science, mechanics, and physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","59",
"2014","Columbia University in the City of New York","Genetics","Total for selected values","30",
"2014","Columbia University in the City of New York","Genetics","Foreign nationals","5",
"2014","Columbia University in the City of New York","Genetics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","25",
"2014","Columbia University in the City of New York","Geosciences","Total for selected values","131",
"2014","Columbia University in the City of New York","Geosciences","Foreign nationals","55",
"2014","Columbia University in the City of New York","Geosciences","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","76",
"2014","Columbia University in the City of New York","Industrial and manufacturing engineering","Total for selected values","683",
"2014","Columbia University in the City of New York","Industrial and manufacturing engineering","Foreign nationals","599",
"2014","Columbia University in the City of New York","Industrial and manufacturing engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","84",
"2014","Columbia University in the City of New York","Mathematics and applied mathematics","Total for selected values","235",
"2014","Columbia University in the City of New York","Mathematics and applied mathematics","Foreign nationals","184",
"2014","Columbia University in the City of New York","Mathematics and applied mathematics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","51",
"2014","Columbia University in the City of New York","Mechanical engineering","Total for selected values","227",
"2014","Columbia University in the City of New York","Mechanical engineering","Foreign nationals","153",
"2014","Columbia University in the City of New York","Mechanical engineering","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","74",
"2014","Columbia University in the City of New York","Microbiology, immunology, and virology","Total for selected values","25",
"2014","Columbia University in the City of New York","Microbiology, immunology, and virology","Foreign nationals","5",
"2014","Columbia University in the City of New York","Microbiology, immunology, and virology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","20",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","86",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals","11",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","75",
"2014","Columbia University in the City of New York","Nursing science","Total for selected values","30",
"2014","Columbia University in the City of New York","Nursing science","Foreign nationals","6",
"2014","Columbia University in the City of New York","Nursing science","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","24",
"2014","Columbia University in the City of New York","Nutrition","Total for selected values","29",
"2014","Columbia University in the City of New York","Nutrition","Foreign nationals","6",
"2014","Columbia University in the City of New York","Nutrition","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","23",
"2014","Columbia University in the City of New York","Pathology","Total for selected values","28",
"2014","Columbia University in the City of New York","Pathology","Foreign nationals","12",
"2014","Columbia University in the City of New York","Pathology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"2014","Columbia University in the City of New York","Pharmacology and toxicology","Total for selected values","20",
"2014","Columbia University in the City of New York","Pharmacology and toxicology","Foreign nationals","4",
"2014","Columbia University in the City of New York","Pharmacology and toxicology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","16",
"2014","Columbia University in the City of New York","Physics","Total for selected values","97",
"2014","Columbia University in the City of New York","Physics","Foreign nationals","51",
"2014","Columbia University in the City of New York","Physics","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","46",
"2014","Columbia University in the City of New York","Physiology","Total for selected values","13",
"2014","Columbia University in the City of New York","Physiology","Foreign nationals","2",
"2014","Columbia University in the City of New York","Physiology","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","11",
"2014","Columbia University in the City of New York","Political science and government","Total for selected values","179",
"2014","Columbia University in the City of New York","Political science and government","Foreign nationals","86",
"2014","Columbia University in the City of New York","Political science and government","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","93",
"2014","Columbia University in the City of New York","Preventive medicine and community health","Total for selected values","74",
"2014","Columbia University in the City of New York","Preventive medicine and community health","Foreign nationals","11",
"2014","Columbia University in the City of New York","Preventive medicine and community health","U.S. citizens and permanent residents (non-U.S. citizens holding green cards)","63",
"2014","Columbia University in the City of New York","Psychology, general","Total for selected values","34",
"2014","Columbia University in the City of New York","Psychology, general","Foreign nationals","6",
